Data,Nowe przypadki,Nowe zgony,Nowe wyzdrowienia,Zmiana liczby nieaktywnych przypadków,Zmiana liczby aktywnych przypadków,Suma potwierdzonych przypadków,Suma zgonów,Suma wyzdrowień,Liczba nieaktywnych przypadków,Liczba aktywnych przypadków
2020-06-14,+ 375,+ 10,+ 122,+ 132,+ 243,29392,1247,14226,15473,13919
2020-06-15,+ 396,+ 9,+ 157,+ 166,+ 230,29788,1256,14383,15639,14149
2020-06-16,+ 407,+ 16,+ 271,+ 287,+ 120,30195,1272,14654,15926,14269
2020-06-17,+ 450,+ 14,+ 267,+ 281,+ 169,30645,1286,14921,16207,14438
2020-06-18,+ 314,+ 30,+ 396,+ 426,-112,30959,1316,15317,16633,14326
2020-06-19,+ 352,+ 18,+ 381,+ 399,-47,31311,1334,15698,17032,14279
2020-06-20,+ 309,+ 12,+ 483,+ 495,-186,31620,1346,16181,17527,14093
2020-06-21,+ 311,+ 10,+ 502,+ 512,-201,31931,1356,16683,18039,13892
2020-06-22,+ 296,+ 3,+ 393,+ 396,-100,32227,1359,17076,18435,13792
2020-06-23,+ 300,+ 16,+ 497,+ 513,-213,32527,1375,17573,18948,13579
2020-06-24,+ 294,+ 21,+ 561,+ 582,-288,32821,1396,18134,19530,13291
2020-06-25,+ 289,+ 16,+ 520,+ 536,-247,33110,1412,18654,20066,13044
2020-06-26,+ 285,+ 17,+ 564,+ 581,-296,33395,1429,19218,20647,12748
2020-06-27,+ 319,+ 6,+ 754,+ 760,-441,33714,1435,19972,21407,12307
2020-06-28,+ 193,+ 4,+ 576,+ 580,-387,33907,1439,20548,21987,11920
2020-06-29,+ 247,+ 6,+ 349,+ 355,-108,34154,1445,20897,22342,11812
2020-06-30,+ 239,+ 19,+ 384,+ 403,-164,34393,1464,21281,22745,11648
2020-07-01,+ 382,+ 14,+ 510,+ 524,-142,34775,1478,21791,23269,11506
2020-07-02,+ 371,+ 15,+ 418,+ 433,-62,35146,1493,22209,23702,11444
2020-07-03,+ 259,+ 14,+ 442,+ 456,-197,35405,1507,22651,24158,11247
2020-07-04,+ 314,+ 4,+ 476,+ 480,-166,35719,1511,23127,24638,11081
2020-07-05,+ 231,+ 5,+ 619,+ 624,-393,35950,1516,23746,25262,10688
2020-07-06,+ 205,+ 4,+ 220,+ 224,-19,36155,1520,23966,25486,10669
2020-07-07,+ 257,+ 7,+ 272,+ 279,-22,36412,1527,24238,25765,10647
2020-07-08,+ 277,+ 15,+ 640,+ 655,-378,36689,1542,24878,26420,10269
2020-07-09,+ 262,+ 9,+ 599,+ 608,-346,36951,1551,25477,27028,9923
2020-07-10,+ 265,+ 11,+ 571,+ 582,-317,37216,1562,26048,27610,9606
2020-07-11,+ 305,+ 6,+ 587,+ 593,-288,37521,1568,26635,28203,9318
2020-07-12,+ 370,+ 3,+ 513,+ 516,-146,37891,1571,27148,28719,9172
2020-07-13,+ 299,+ 5,+ 367,+ 372,-73,38190,1576,27515,29091,9099
2020-07-14,+ 267,+ 12,+ 241,+ 253,+ 14,38457,1588,27756,29344,9113
2020-07-15,+ 264,+ 6,+ 736,+ 742,-478,38721,1594,28492,30086,8635
2020-07-16,+ 333,+ 10,+ 436,+ 446,-113,39054,1604,28928,30532,8522
2020-07-17,+ 353,+ 7,+ 577,+ 584,-231,39407,1611,29505,31116,8291
2020-07-18,+ 339,+ 6,+ 419,+ 425,-86,39746,1617,29924,31541,8205
2020-07-19,+ 358,+ 6,+ 368,+ 374,-16,40104,1623,30292,31915,8189
2020-07-20,+ 279,+ 4,+ 247,+ 251,+ 28,40383,1627,30539,32166,8217
2020-07-21,+ 399,+ 9,+ 232,+ 241,+ 158,40782,1636,30771,32407,8375
2020-07-22,+ 380,+ 6,+ 368,+ 374,+ 6,41162,1642,31139,32781,8381
2020-07-23,+ 418,+ 9,+ 402,+ 411,+ 7,41580,1651,31541,33192,8388
2020-07-24,+ 458,+ 4,+ 456,+ 460,-2,42038,1655,31997,33652,8386
2020-07-25,+ 584,+ 9,+ 422,+ 431,+ 153,42622,1664,32419,34083,8539
2020-07-26,+ 443,+ 7,+ 334,+ 341,+ 102,43065,1671,32753,34424,8641
2020-07-27,+ 337,+ 5,+ 103,+ 108,+ 229,43402,1676,32856,34532,8870
2020-07-28,+ 502,+ 6,+ 187,+ 193,+ 309,43904,1682,33043,34872,9032
2020-07-29,+ 512,+ 12,+ 147,+ 159,+ 353,44416,1697,33190,34887,9632
2020-07-30,+ 615,+ 15,+ 453,+ 468,+ 147,45031,1709,33643,35352,9679
2020-07-31,+ 657,+ 7,+ 344,+ 351,+ 306,45688,1716,33987,35703,9985
2020-08-01,+ 658,+ 5,+ 387,+ 392,+ 266,46346,1721,34374,36095,10251
2020-08-02,+ 548,+ 10,+ 335,+ 345,+ 203,46894,1731,34709,36440,10454
2020-08-03,+ 575,+ 1,+ 172,+ 173,+ 402,47469,1732,34881,36613,10856
2020-08-04,+ 680,+ 6,+ 175,+ 181,+ 499,48149,1738,35056,36794,11355
2020-08-05,+ 640,+ 18,+ 265,+ 283,+ 357,48789,1756,35321,37077,11712
2020-08-06,+ 726,+ 18,+ 321,+ 339,+ 387,49515,1774,35642,37416,12099
2020-08-07,+ 809,+ 13,+ 399,+ 412,+ 397,50324,1787,36041,37828,12496
2020-08-08,+ 843,+ 13,+ 362,+ 375,+ 468,51167,1800,36403,38203,12964
2020-08-09,+ 624,+ 7,+ 288,+ 295,+ 329,51791,1807,36691,38498,13293
2020-08-10,+ 619,+ 2,+ 186,+ 188,+ 431,52410,1809,36877,38686,13724
2020-08-11,+ 551,+ 12,+ 273,+ 285,+ 266,52961,1821,37150,38971,13990
2020-08-12,+ 715,+ 9,+ 461,+ 470,+ 245,53676,1830,37611,39441,14235
2020-08-13,+ 811,+ 13,+ 350,+ 363,+ 448,54487,1843,37961,39804,14683
2020-08-14,+ 832,+ 15,+ 401,+ 416,+ 416,55319,1858,38362,40220,15099
2020-08-15,+ 771,+ 11,+ 491,+ 502,+ 269,56090,1869,38853,40722,15368
2020-08-16,+ 594,+ 8,+ 277,+ 285,+ 309,56684,1877,39130,41007,15677
2020-08-17,+ 595,+ 8,+ 229,+ 237,+ 358,57279,1885,39359,41244,16035
2020-08-18,+ 597,+ 11,+ 284,+ 295,+ 302,57876,1896,39643,41539,16337
2020-08-19,+ 735,+ 17,+ 456,+ 473,+ 262,58611,1913,40099,42012,16599
2020-08-20,+ 767,+ 12,+ 382,+ 394,+ 373,59378,1925,40481,42406,16972
2020-08-21,+ 903,+ 13,+ 548,+ 561,+ 342,60281,1938,41029,42967,17314
2020-08-22,+ 900,+ 13,+ 632,+ 645,+ 255,61181,1951,41661,43612,17569
2020-08-23,+ 581,+ 4,+ 522,+ 526,+ 55,61762,1955,42183,44138,17624
2020-08-24,+ 548,+ 5,+ 265,+ 270,+ 278,62310,1960,42448,44408,17902
2020-08-25,+ 763,+ 17,+ 336,+ 353,+ 410,63073,1977,42784,44761,18312
2020-08-26,+ 729,+ 17,+ 615,+ 632,+ 97,63802,1994,43399,45393,18409
2020-08-27,+ 887,+ 15,+ 698,+ 713,+ 174,64689,2009,44097,46106,18583
2020-08-28,+ 791,+ 9,+ 688,+ 697,+ 94,65480,2018,44785,46803,18677
2020-08-29,+ 759,+ 14,+ 751,+ 765,-6,66239,2032,45536,47568,18671
2020-08-30,+ 631,+ 1,+ 656,+ 657,-26,66870,2033,46192,48225,18645
2020-08-31,+ 502,+ 6,+ 446,+ 452,+ 50,67372,2039,46638,48677,18695
2020-09-01,+ 550,+ 19,+ 392,+ 411,+ 139,67922,2058,47030,49088,18834
2020-09-02,+ 595,+ 20,+ 835,+ 855,-260,68517,2078,47865,49943,18574
2020-09-03,+ 612,+ 14,+ 728,+ 742,-130,69129,2092,48593,50685,18444
2020-09-04,+ 691,+ 8,+ 1227,+ 1235,-544,69820,2100,49820,51920,17900
2020-09-05,+ 567,+ 13,+ 2526,+ 2539,-1 972,70387,2113,52346,54459,15928
2020-09-06,+ 437,+ 7,+ 1910,+ 1917,-1 480,70824,2120,54256,56376,14448
2020-09-07,+ 302,+ 3,+ 857,+ 860,-558,71126,2123,55113,57236,13890
2020-09-08,+ 400,+ 12,+ 797,+ 809,-409,71526,2135,55910,58045,13481
2020-09-09,+ 421,+ 11,+ 1225,+ 1236,-815,71947,2146,57135,59281,12666
2020-09-10,+ 506,+ 12,+ 934,+ 946,-440,72453,2158,58069,60227,12226
2020-09-11,+ 594,+ 10,+ 779,+ 789,-195,73047,2168,58848,61016,12031
2020-09-12,+ 603,+ 13,+ 877,+ 890,-287,73650,2181,59725,61906,11744
2020-09-13,+ 502,+ 6,+ 934,+ 940,-438,74152,2187,60659,62846,11306
2020-09-14,+ 377,+ 15,+ 438,+ 453,-76,74529,2202,61097,63299,11230
2020-09-15,+ 605,+ 24,+ 451,+ 475,+ 130,75134,2226,61548,63774,11360
2020-09-16,+ 600,+ 10,+ 562,+ 572,+ 28,75734,2236,62110,64346,11388
2020-09-17,+ 837,+ 16,+ 615,+ 631,+ 206,76571,2252,62725,64977,11594
2020-09-18,+ 757,+ 17,+ 587,+ 604,+ 153,77328,2269,63312,65581,11747
2020-09-19,+ 1002,+ 12,+ 549,+ 561,+ 441,78330,2281,63861,66142,12188
2020-09-20,+ 910,+ 11,+ 441,+ 452,+ 458,79240,2292,64302,66594,12646
2020-09-21,+ 748,+ 5,+ 302,+ 307,+ 441,79988,2297,64604,66901,13087
2020-09-22,+ 711,+ 18,+ 368,+ 386,+ 325,80699,2315,64972,67287,13412
2020-09-23,+ 974,+ 28,+ 589,+ 617,+ 357,81673,2343,65561,67904,13769
2020-09-24,+ 1136,+ 25,+ 597,+ 622,+ 514,82809,2368,66158,68526,14283
2020-09-25,+ 1587,+ 23,+ 582,+ 605,+ 982,84396,2391,66740,69131,15265
2020-09-26,+ 1584,+ 32,+ 586,+ 618,+ 966,85980,2423,67326,69749,16231
2020-09-27,+ 1350,+ 8,+ 578,+ 586,+ 764,87330,2431,67904,70335,16995
2020-09-28,+ 1306,+ 15,+ 516,+ 531,+ 775,88636,2446,68420,70866,17770
2020-09-29,+ 1326,+ 36,+ 535,+ 571,+ 755,89962,2482,68955,71437,18525
2020-09-30,+ 1552,+ 30,+ 740,+ 770,+ 782,91514,2512,69695,72207,19307
2020-10-01,+ 1967,+ 30,+ 706,+ 736,+ 1231,93481,2542,70401,72943,20538
2020-10-02,+ 2292,+ 27,+ 952,+ 979,+ 1313,95773,2569,71353,73922,21851
2020-10-03,+ 2367,+ 34,+ 856,+ 890,+ 1477,98140,2603,72209,74812,23328
2020-10-04,+ 1934,+ 26,+ 794,+ 820,+ 1114,100074,2629,73003,75632,24442
2020-10-05,+ 2006,+ 29,+ 549,+ 578,+ 1428,102080,2658,73552,76210,25870
2020-10-06,+ 2236,+ 58,+ 606,+ 664,+ 1572,104316,2716,74158,76874,27442
2020-10-07,+ 3003,+ 75,+ 1188,+ 1263,+ 1740,107319,2791,75346,78137,29182
2020-10-08,+ 4280,+ 76,+ 1144,+ 1220,+ 3060,111599,2867,76490,79357,32242
2020-10-09,+ 4739,+ 52,+ 1385,+ 1437,+ 3302,116338,2919,77875,80794,35544
2020-10-10,+ 5300,+ 53,+ 1107,+ 1160,+ 4140,121638,2972,78982,81954,39684
2020-10-11,+ 4178,+ 31,+ 1320,+ 1351,+ 2827,125816,3003,80302,83305,42511
2020-10-12,+ 4394,+ 35,+ 899,+ 934,+ 3460,130210,3038,81201,84239,45971
2020-10-13,+ 5068,+ 63,+ 803,+ 866,+ 4202,135278,3101,82004,85105,50173
2020-10-14,+ 6526,+ 116,+ 1843,+ 1959,+ 4567,141804,3217,83847,87064,54740
2020-10-15,+ 8099,+ 91,+ 1741,+ 1832,+ 6267,149903,3308,85588,88896,61007
2020-10-16,+ 7705,+ 132,+ 2185,+ 2317,+ 5388,157608,3440,87773,91213,66395
2020-10-17,+ 9622,+ 84,+ 2389,+ 2473,+ 7149,167230,3524,90162,93686,73544
2020-10-18,+ 8536,+ 49,+ 2489,+ 2538,+ 5998,175766,3573,92651,96224,79542
2020-10-19,+ 7482,+ 41,+ 1363,+ 1404,+ 6078,183248,3614,94014,97628,85620
2020-10-20,+ 9291,+ 107,+ 1942,+ 2049,+ 7242,192539,3721,95956,99677,92862
2020-10-21,+ 10040,+ 130,+ 2928,+ 3058,+ 6982,202579,3851,98884,102735,99844
2020-10-22,+ 12107,+ 168,+ 3320,+ 3488,+ 8619,214686,4019,102204,106223,108463
2020-10-23,+ 13632,+ 153,+ 2888,+ 3041,+ 10591,228318,4172,105092,109264,119054
2020-10-24,+ 13628,+ 178,+ 4252,+ 4430,+ 9198,241946,4350,109344,113694,128252
2020-10-25,+ 11742,+ 87,+ 3275,+ 3362,+ 8380,253688,4437,112619,117056,136632
2020-10-26,+ 10241,+ 45,+ 2683,+ 2728,+ 7513,263929,4482,115302,119784,144145
2020-10-27,+ 16300,+ 132,+ 3935,+ 4067,+ 12233,280229,4614,119237,123851,156378
2020-10-28,+ 18820,+ 234,+ 4267,+ 4501,+ 14319,299049,4848,123504,128352,170697
2020-10-29,+ 20156,+ 301,+ 5763,+ 6064,+ 14092,319205,5149,129267,134416,184789
2020-10-30,+ 21629,+ 202,+ 5457,+ 5659,+ 15970,340834,5351,134724,140075,200759
2020-10-31,+ 21897,+ 280,+ 5556,+ 5836,+ 16061,362731,5631,140280,145911,216820
2020-11-01,+ 17171,+ 152,+ 6315,+ 6467,+ 10704,379902,5783,146595,152378,227524
2020-11-02,+ 15578,+ 92,+ 7818,+ 7910,+ 7668,395480,5875,154413,160288,235192
2020-11-03,+ 19364,+ 227,+ 5573,+ 5800,+ 13564,414844,6102,159986,166088,248756
2020-11-04,+ 24692,+ 372,+ 8974,+ 9346,+ 15346,439536,6474,168960,175434,264102
2020-11-05,+ 27143,+ 367,+ 8721,+ 9088,+ 18055,466679,6841,177681,184522,282157
2020-11-06,+ 27086,+ 445,+ 10994,+ 11439,+ 15647,493765,7286,188675,195961,297804
2020-11-07,+ 27875,+ 349,+ 11835,+ 12184,+ 15691,521640,7635,200510,208145,313495
2020-11-08,+ 24785,+ 236,+ 8853,+ 9089,+ 15696,546425,7871,209363,217234,329191
2020-11-09,+ 21713,+ 173,+ 10008,+ 10181,+ 11532,568138,8044,219371,227415,340723
2020-11-10,+ 25454,+ 330,+ 11290,+ 11620,+ 13834,593592,8374,230661,239035,354557
2020-11-11,+ 25221,+ 429,+ 12214,+ 12643,+ 12578,618813,8803,242875,251678,367135
2020-11-12,+ 22683,+ 275,+ 11474,+ 11749,+ 10934,641496,9078,254349,263427,378069
2020-11-13,+ 24051,+ 419,+ 13231,+ 13650,+ 10401,665547,9497,267580,277077,388470
2020-11-14,+ 25571,+ 548,+ 14635,+ 15183,+ 10388,691118,10045,282215,292260,398858
2020-11-15,+ 21854,+ 303,+ 12568,+ 12871,+ 8983,712972,10348,294783,305131,407841
2020-11-16,+ 20816,+ 143,+ 11239,+ 11382,+ 9434,733788,10491,306022,316513,417275
2020-11-17,+ 19152,+ 357,+ 18260,+ 18617,+ 535,752940,10848,324282,335130,417810
2020-11-18,+ 19883,+ 603,+ 18601,+ 19204,+ 679,772823,11451,342883,354334,418489
2020-11-19,+ 23975,+ 637,+ 19003,+ 19640,+ 4335,796798,12088,361886,373974,422824
2020-11-20,+ 22464,+ 626,+ 19914,+ 20540,+ 1924,819262,12714,381800,394514,424748
2020-11-21,+ 24213,+ 574,+ 25275,+ 25849,-1 636,843475,13288,407075,420363,423112
2020-11-22,+ 18467,+ 330,+ 16896,+ 17226,+ 1241,861331,13618,423971,437589,424353
2020-11-23,+ 15002,+ 156,+ 14897,+ 15053,-51,875722,13774,438868,452642,423080
2020-11-24,+ 10139,+ 540,+ 15849,+ 16389,-6 250,909066,14314,454717,469031,416830
2020-11-25,+ 15362,+ 674,+ 14810,+ 15484,-122,924428,14988,469527,484515,439913
2020-11-26,+ 16687,+ 580,+ 25342,+ 25922,-9 235,941115,15568,494869,510437,430678
2020-11-27,+ 17060,+ 579,+ 21767,+ 22346,-5 286,958175,16147,516636,532783,425392
2020-11-28,+ 15178,+ 599,+ 21637,+ 22236,-7 058,973353,16746,538273,555019,418334
2020-11-29,+ 11483,+ 283,+ 21156,+ 21439,-9 956,984836,17029,559429,576458,408378
2020-11-30,+ 5733,+ 121,+ 18085,+ 18206,-12 473,990569,17150,577514,594664,395905
2020-12-01,+ 9105,+ 449,+ 20075,+ 20524,-11 419,999674,17599,597589,615188,384486
2020-12-02,+ 13855,+ 609,+ 25391,+ 26000,-12 145,1013529,18208,622980,641188,372341
2020-12-03,+ 14838,+ 620,+ 23580,+ 24200,-9 362,1028367,18828,646560,665388,362979
2020-12-04,+ 13239,+ 531,+ 19853,+ 20384,-7 145,1041606,19359,666413,685772,355834
2020-12-05,+ 12430,+ 502,+ 21497,+ 21999,-9 569,1054036,19861,687910,707771,346265
2020-12-06,+ 9176,+ 228,+ 18810,+ 19038,-9 862,1063212,20089,706720,726809,336403
2020-12-07,+ 4423,+ 92,+ 15726,+ 15818,-11 395,1067635,20181,722446,742627,325008
2020-12-08,+ 8312,+ 411,+ 16399,+ 16810,-8 498,1075947,20592,738845,759437,316510
2020-12-09,+ 12168,+ 568,+ 29396,+ 29964,-17 796,1088115,21160,768241,789401,298714
2020-12-10,+ 13749,+ 470,+ 23878,+ 24348,-10 599,1101864,21630,792119,813749,288115
2020-12-11,+ 13110,+ 544,+ 23237,+ 23781,-10 671,1114974,22174,815356,837530,277444
2020-12-12,+ 11497,+ 502,+ 25185,+ 25687,-14 190,1126471,22676,840541,863217,263254
2020-12-13,+ 8977,+ 188,+ 18354,+ 18542,-9 565,1135448,22864,858895,881759,253689
2020-12-14,+ 4896,+ 96,+ 10260,+ 10356,-5 460,1140344,22960,869155,892115,248229
2020-12-15,+ 6907,+ 349,+ 10593,+ 10942,-4 035,1147251,23309,879748,903057,244194
2020-12-16,+ 12454,+ 605,+ 12902,+ 13507,-1 053,1159705,23914,892650,916564,243141
2020-12-17,+ 11953,+ 431,+ 10699,+ 11130,+ 823,1171658,24345,903349,927694,243964
2020-12-18,+ 11013,+ 426,+ 12227,+ 12653,-1 640,1182671,24771,915576,940347,242324
2020-12-19,+ 11267,+ 483,+ 12147,+ 12630,-1 363,1193938,25254,927723,952977,240961
2020-12-20,+ 8594,+ 143,+ 10546,+ 10689,-2 095,1202532,25397,938269,963666,238866
2020-12-21,+ 4633,+ 77,+ 7748,+ 7825,-3 192,1207165,25474,946017,971491,235674
2020-12-22,+ 7192,+ 309,+ 8255,+ 8564,-1 372,1214357,25783,954272,980055,234302
