,,,,,,,,,,,,,,,,,,,,,,,,
,Data,Suma przebadanych osób,Nowe przebadne osoby,Suma wykonanych testów,Dobowa liczba wykonanych testów,Dobowa liczba wykonanych testów antygenowych,% testów antygenowych w dobowej liczbie wykonanych testów,Suma zleceń POZ,Dobowa liczba zleceń POZ,zmiana tygodniowa dobowej liczby zleceń POZ,Suma osób z wynikiem pozytywnym,Dobowa liczba osób z wynikiem pozywnym,% osób z wynikiem pozytywnym (w ogólnej liczbie testów),% osób z wynikiem pozytywnym (w ogólnej liczbie przebadanych osób),dobowy % osób z wynikiem pozytywnym (w dobowej liczbie testów),dobowy % osób z wynikiem pozytywnym (w dobowej liczbie nowych przebadanych osób),Suma wyników negatywnych i powtórnie pozytywnych,Wyniki negatywne i powtórnie pozywyne,,7-dniowa średnia dobowej liczby wykonanych testów,7-dniowa średnia dobowego % wyników pozytywnych  (w dobowej liczbie testów),,! UWAGI ,"! W dniu 08.08 MZ podało informację o zawyżeniu sumy przebadanych próbek o ~230 tys. przez WSSE Kielce przez błąd w raportowaniu. Dane historyczne dot. sumy próbek nie zostały skorygowane.                                                            ! Brak raportu za dzień 25.07, podano tylko zaokrągloną liczbę przebadanych próbek.      ! Zmiana godziny raportowania.                                                                                                                                                                                                                              ! Do raportu dodano liczbę przebadanych osób.                                                                                                                                                                                                                                                                                                                                                                               ! Brak raportów za dzień 06.03 i 15.03   ! W związku ze zmianą systemu raportowania i korektami MZ, suma przypadków może nie być zgodna z sumą w zakałdce 'Wzrost'"
,21.04,13503310,71228,13839288,71738,27075,"37,74%",3711892,19930,"-21,17%",2710343,12762,"19,58%","20,07%","17,79%","17,92%",11128945,58976,,72 029,"17,4%",,,
,22.04,13565303,61993,13901801,62513,22063,"35,29%",3730324,18432,"-19,56%",2721201,10858,"19,57%","20,06%","17,37%","17,51%",11180600,51655,,69 090,"16,8%",,,
,23.04,13634982,69679,13972673,70872,32666,"46,09%",3744644,14320,"-35,42%",2730706,9505,"19,54%","20,03%","13,41%","13,64%",11241967,61367,,67 010,"16,1%",,,
,24.04,13685289,50307,14023812,51139,22154,"43,32%",3745464,820,"-13,68%",2737925,7219,"19,52%","20,01%","14,12%","14,35%",11285887,43920,,64 971,"15,5%",,,
,25.04,13718735,33446,14057613,33801,17019,"50,35%",3745896,432,"-25,65%",2741376,3451,"19,50%","19,98%","10,21%","10,32%",11316237,30350,,62 993,"14,8%",,,
,26.04,13782481,63746,14122423,64810,34093,"52,60%",3766294,20398,"-27,28%",2747085,5709,"19,45%","19,93%","8,81%","8,96%",11375338,59101,,62 167,"14,1%",,,
,27.04,13853359,70878,14194145,71722,30005,"41,84%",3779714,13420,"-27,39%",2755980,8895,"19,42%","19,89%","12,40%","12,55%",11438165,62827,,60 942,"13,4%",,,
,28.04,13918479,65120,14259976,65831,27047,"41,09%",3791579,11865,"-40,47%",2764407,8427,"19,39%","19,86%","12,80%","12,94%",11495569,57404,,60 098,"12,7%",,,
,29.04,13978843,60364,14321250,61274,27358,"44,65%",3802699,11120,"-39,67%",2771203,6796,"19,35%","19,82%","11,09%","11,26%",11550047,54478,,59 921,"11,8%",,,
,30.04,14041166,62323,14384650,63400,29365,"46,32%",3813261,10562,"-26,24%",2777672,6469,"19,31%","19,78%","10,20%","10,38%",11606978,56931,,58 854,"11,4%",,,
,01.05,14084044,42878,14428003,43353,19776,"45,62%",3813836,575,"-29,88%",2782284,4612,"19,28%","19,75%","10,64%","10,76%",11645719,38741,,57 742,"10,9%",,,
,02.05,14114579,30535,14459033,31030,17536,"56,51%",3814315,479,"10,88%",2784809,2525,"19,26%","19,73%","8,14%","8,27%",11674224,28505,,57 346,"10,6%",,,
,03.05,14145372,30793,14490193,31160,16762,"53,79%",3814935,620,"-96,96%",2787105,2296,"19,23%","19,70%","7,37%","7,46%",11703088,28864,,52 539,"10,4%",,,
,04.05,14200822,55450,14546443,56250,30326,"53,91%",3833075,18140,"35,17%",2791001,3896,"19,19%","19,65%","6,93%","7,03%",11755442,52354,,50 328,"9,6%",,,
,05.05,14266710,65888,14613070,66627,31399,"47,13%",3846281,13206,"11,30%",2797432,6431,"19,14%","19,61%","9,65%","9,76%",11815638,60196,,50 442,"9,1%",,,
,06.05,14331563,64853,14678781,65711,30520,"46,45%",3858259,11978,"7,72%",2803479,6047,"19,10%","19,56%","9,20%","9,32%",11875302,59664,,51 076,"8,9%",,,
,07.05,14394369,62806,14742236,63455,30342,"47,82%",3868005,9746,"-7,73%",2808244,4765,"19,05%","19,51%","7,51%","7,59%",11933992,58690,,51 084,"8,5%",,,
,08.05,14445652,51283,14794397,52161,24571,"47,11%",3868578,573,"-0,35%",2812096,3852,"19,01%","19,47%","7,38%","7,51%",11982301,48309,,52 342,"8,0%",,,
,09.05,14482346,36694,14831359,36962,21192,"57,33%",3870703,2125,"343,63%",2814128,2032,"18,97%","19,43%","5,50%","5,54%",12017231,34930,,53 189,"7,6%",,,
,10.05,14544141,61795,14894006,62647,35926,"57,35%",3886121,15418,"2386,77%",2817226,3098,"18,92%","19,37%","4,95%","5,01%",12076780,59549,,57 688,"7,3%",,,
,11.05,14609529,65388,14960240,66234,31603,"47,71%",3896563,10442,"-42,44%",2821481,4255,"18,86%","19,31%","6,42%","6,51%",12138759,61979,,59 114,"7,2%",,,
,12.05,14666237,56708,15017415,57175,26357,"46,10%",3906005,9442,"-28,50%",2825211,3730,"18,81%","19,26%","6,52%","6,58%",12192204,53445,,57 764,"6,8%",,,
,13.05,14726428,60191,15078062,60647,26357,"43,46%",3915464,9459,"-21,03%",2828499,3288,"18,76%","19,21%","5,42%","5,46%",12249563,57359,,57 040,"6,2%",,,
,14.05,14782781,56353,15135124,57062,27782,"48,69%",3923911,8447,"-13,33%",2831395,2896,"18,71%","19,15%","5,08%","5,14%",12303729,54166,,56 127,"5,9%",,,
,15.05,14830984,48203,15184082,48958,24427,"49,89%",3924947,1036,"80,80%",2833562,2167,"18,66%","19,11%","4,43%","4,50%",12350520,46791,,55 669,"5,5%",,,
,16.05,14863706,32722,15217177,33095,18681,"56,45%",3926575,1628,"-23,39%",2834671,1109,"18,63%","19,07%","3,35%","3,39%",12382506,31986,,55 117,"5,2%",,,
