---CORRELATION MATRIX---

                                                   Vaccination.ALL  Vaccination.DAILY  Vaccination.COMPLETED  Vaccination.COMPLETED_PERCENT  CovidTest.DAILY_NUMBER_OF_TESTS  CovidTest.DAILY_POSITIVE_TESTS  CovidTest.DAILY_AVERAGE_NUMBER_OF_TESTS  CovidTest.DAILY_AVERAGE_PERCENT_OF_POSITIVE_TESTS  CovidGrow.SUMMED_CASES  CovidGrow.NEW_DAILY_CASES  CovidGrow.SUMMED_DEATHS  CovidGrow.NEW_DAILY_DEATHS  CovidGrow.NEW_DAILY_RECOVERIES  CovidGrow.INACTIVE_CASES_SHIFT  CovidGrow.ACTIVE_CASES_SHIFT  CovidGrow.TEMPORARY_INACTIVE_CASES_NUMBER  CovidGrow.TEMPORARY_ACTIVE_CASES_NUMBER  CovidGrow.SUMMED_RECOVERIES
    Vaccination.ALL  Vaccination.DAILY  Vaccination.COMPLETED  Vaccination.COMPLETED_PERCENT  CovidTest.DAILY_NUMBER_OF_TESTS  CovidTest.DAILY_POSITIVE_TESTS  CovidTest.DAILY_AVERAGE_NUMBER_OF_TESTS  CovidTest.DAILY_AVERAGE_PERCENT_OF_POSITIVE_TESTS  CovidGrow.SUMMED_CASES  CovidGrow.NEW_DAILY_CASES  CovidGrow.SUMMED_DEATHS  CovidGrow.NEW_DAILY_DEATHS  CovidGrow.NEW_DAILY_RECOVERIES  CovidGrow.INACTIVE_CASES_SHIFT  CovidGrow.ACTIVE_CASES_SHIFT  CovidGrow.TEMPORARY_INACTIVE_CASES_NUMBER  CovidGrow.TEMPORARY_ACTIVE_CASES_NUMBER  CovidGrow.SUMMED_RECOVERIES
0          1.000000           1.000000               1.000000                       1.000000                         1.000000                        1.000000                                 1.000000                                           1.000000                1.000000                   1.000000                 1.000000                    1.000000                        1.000000                        1.000000                      1.000000                                   1.000000                                 1.000000                     1.000000
1          0.977382           0.864272               0.979450                       0.979456                         0.954580                        0.939295                                 0.982665                                           0.978622                0.986067                   0.928191                 0.987974                    0.847048                        0.931296                        0.933107                      0.545110                                   0.986901                                 0.981012                     0.986869
2          0.955436           0.647654               0.958495                       0.958474                         0.900357                        0.858570                                 0.964095                                           0.956966                0.972351                   0.847130                 0.976096                    0.675841                        0.888658                        0.893004                      0.068473                                   0.973910                                 0.962794                     0.973843
3          0.933823           0.487316               0.937366                       0.937367                         0.871655                        0.812515                                 0.945161                                           0.934968                0.958842                   0.817246                 0.964393                    0.633131                        0.851931                        0.858326                      0.047335                                   0.960969                                 0.945879                     0.960865
4          0.912410           0.487905               0.916125                       0.916147                         0.856450                        0.803028                                 0.925836                                           0.913287                0.945442                   0.814538                 0.952805                    0.651671                        0.818142                        0.825788                      0.082495                                   0.948191                                 0.928786                     0.948050
5          0.890877           0.621867               0.894730                       0.894764                         0.853895                        0.806715                                 0.906108                                           0.892588                0.932097                   0.802534                 0.941132                    0.687716                        0.790461                        0.797242                      0.128278                                   0.935572                                 0.911136                     0.935402
6          0.869500           0.791506               0.873181                       0.873233                         0.864830                        0.817507                                 0.886513                                           0.871641                0.918889                   0.809017                 0.929363                    0.780478                        0.775070                        0.779142                      0.505016                                   0.923099                                 0.893598                     0.922908
7          0.848649           0.858962               0.851707                       0.851779                         0.866346                        0.812167                                 0.867807                                           0.850791                0.905850                   0.795716                 0.917669                    0.862095                        0.758426                        0.761678                      0.780922                                   0.910826                                 0.875869                     0.910618
8          0.828641           0.751366               0.830764                       0.830819                         0.821480                        0.749621                                 0.849216                                           0.831248                0.893027                   0.733124                 0.906017                    0.756917                        0.719999                        0.724348                      0.468197                                   0.898711                                 0.858437                     0.898488
9          0.809382           0.560494               0.810046                       0.810111                         0.771608                        0.672529                                 0.831289                                           0.811446                0.880408                   0.659375                 0.894420                    0.597607                        0.678842                        0.685136                      0.073587                                   0.886658                                 0.841986                     0.886420
10         0.790511           0.415002               0.789231                       0.789293                         0.744547                        0.629451                                 0.813994                                           0.791531                0.867965                   0.632921                 0.882954                    0.547171                        0.647116                        0.654904                      0.034155                                   0.874660                                 0.826562                     0.874404
11         0.771685           0.409036               0.768209                       0.768243                         0.729582                        0.620725                                 0.797079                                           0.772002                0.855604                   0.627326                 0.871580                    0.563052                        0.620405                        0.629010                      0.064108                                   0.862769                                 0.811114                     0.862497
12         0.752625           0.532712               0.746990                       0.747058                         0.724226                        0.621880                                 0.780227                                           0.753311                0.843303                   0.618675                 0.860136                    0.596114                        0.603155                        0.610780                      0.079152                                   0.850994                                 0.795401                     0.850712
13         0.733367           0.692049               0.725575                       0.725662                         0.733951                        0.632104                                 0.763032                                           0.736217                0.831109                   0.622420                 0.848616                    0.685453                        0.594509                        0.599979                      0.353416                                   0.839304                                 0.779998                     0.839016
14         0.714209           0.767073               0.704302                       0.704380                         0.732895                        0.627177                                 0.745480                                           0.720250                0.819062                   0.617021                 0.837107                    0.745829                        0.590313                        0.594614                      0.614498                                   0.827734                                 0.764818                     0.827443
15         0.695550           0.692685               0.683551                       0.683633                         0.695012                        0.581531                                 0.728359                                           0.704955                0.807167                   0.567181                 0.825628                    0.656851                        0.563332                        0.568705                      0.394319                                   0.816250                                 0.749977                     0.815958
16         0.677296           0.537728               0.662962                       0.663071                         0.653250                        0.519564                                 0.711959                                           0.690802                0.795441                   0.505639                 0.814166                    0.522467                        0.539336                        0.546152                      0.054776                                   0.804795                                 0.736084                     0.804502
17         0.658970           0.406583               0.642120                       0.642226                         0.632224                        0.484600                                 0.696174                                           0.677337                0.783874                   0.484547                 0.802804                    0.475730                        0.513143                        0.521140                     -0.001746                                   0.793328                                 0.723521                     0.793030
18         0.640516           0.387883               0.621069                       0.621157                         0.619756                        0.475240                                 0.681205                                           0.664406                0.772386                   0.481041                 0.791534                    0.489940                        0.496877                        0.505271                      0.022999                                   0.781927                                 0.711169                     0.781624
19         0.621853           0.488991               0.599852                       0.599923                         0.618338                        0.477880                                 0.667186                                           0.651697                0.760938                   0.474625                 0.780191                    0.524752                        0.480326                        0.488260                      0.026413                                   0.770589                                 0.698752                     0.770285
20         0.603024           0.632274               0.578448                       0.578550                         0.628990                        0.486299                                 0.654255                                           0.639308                0.749577                   0.477463                 0.768774                    0.605144                        0.469542                        0.475821                      0.240978                                   0.759307                                 0.686676                     0.759007
21         0.584384           0.707444               0.557310                       0.557399                         0.633322                        0.484529                                 0.642304                                           0.626619                0.738336                   0.479062                 0.757363                    0.651941                        0.462940                        0.468004                      0.476226                                   0.748112                                 0.674874                     0.747817
22         0.566342           0.650642               0.536849                       0.536961                         0.606067                        0.450908                                 0.631307                                           0.614074                0.727198                   0.440270                 0.745972                    0.571108                        0.452651                        0.458408                      0.283644                                   0.737049                                 0.662778                     0.736764
23         0.548803           0.516732               0.516603                       0.516717                         0.572513                        0.403471                                 0.621051                                           0.601290                0.716186                   0.396223                 0.734613                    0.455914                        0.433946                        0.441311                      0.009132                                   0.725996                                 0.651492                     0.725717
24         0.531309           0.382123               0.496081                       0.496216                         0.556571                        0.378885                                 0.611352                                           0.588952                0.705279                   0.380733                 0.723345                    0.420120                        0.415246                        0.423461                     -0.034187                                   0.714922                                 0.641159                     0.714648
25         0.513904           0.350548               0.475409                       0.475570                         0.547755                        0.374215                                 0.601983                                           0.576440                0.694422                   0.382942                 0.712144                    0.432685                        0.397105                        0.405464                     -0.006801                                   0.703880                                 0.631056                     0.703610
26         0.496356           0.428693               0.454650                       0.454792                         0.548902                        0.378506                                 0.592766                                           0.564136                0.683570                   0.376594                 0.700879                    0.461759                        0.387889                        0.395586                     -0.004368                                   0.692899                                 0.620646                     0.692636
27         0.478827           0.550378               0.433873                       0.433996                         0.559917                        0.385561                                 0.583702                                           0.551863                0.672781                   0.382239                 0.689560                    0.535336                        0.387592                        0.394135                      0.164615                                   0.681991                                 0.610269                     0.681740
28         0.461640           0.611639               0.413562                       0.413709                         0.566170                        0.388591                                 0.574852                                           0.540070                0.662062                   0.383272                 0.678222                    0.579968                        0.385318                        0.391150                      0.344296                                   0.671158                                 0.599897                     0.670921
29         0.445197           0.569448               0.394399                       0.394577                         0.542845                        0.362451                                 0.566159                                           0.528637                0.651428                   0.356901                 0.666879                    0.511109                        0.369465                        0.376073                      0.202011                                   0.660378                                 0.589677                     0.660157
30         0.429401           0.456492               0.376038                       0.376188                         0.513234                        0.326763                                 0.557637                                           0.517676                0.640877                   0.318520                 0.655551                    0.410290                        0.358651                        0.366715                     -0.020663                                   0.649610                                 0.579942                     0.649405
31         0.413833           0.338591               0.357733                       0.357860                         0.498120                        0.304742                                 0.549270                                           0.507122                0.630422                   0.306537                 0.644288                    0.380969                        0.346077                        0.354922                     -0.059437                                   0.638825                                 0.571084                     0.638633
32         0.398335           0.304680               0.339316                       0.339426                         0.490296                        0.301096                                 0.540905                                           0.497229                0.620003                   0.308539                 0.633069                    0.392695                        0.335305                        0.343897                     -0.047913                                   0.628059                                 0.562436                     0.627880
33         0.382742           0.364490               0.320863                       0.320957                         0.491629                        0.304552                                 0.532873                                           0.487407                0.609585                   0.304995                 0.621790                    0.422096                        0.331298                        0.339119                     -0.039363                                   0.617328                                 0.553617                     0.617165
34         0.367190           0.459927               0.302444                       0.302533                         0.502708                        0.312222                                 0.524948                                           0.477843                0.599201                   0.309648                 0.610447                    0.484814                        0.333691                        0.340403                      0.090220                                   0.606648                                 0.544776                     0.606505
35         0.352028           0.509768               0.284632                       0.284728                         0.509162                        0.315691                                 0.517344                                           0.468723                0.588873                   0.313924                 0.599099                    0.522667                        0.334775                        0.340777                      0.232446                                   0.596016                                 0.536024                     0.595893
36         0.337694           0.479659               0.268194                       0.268282                         0.489525                        0.297844                                 0.510034                                           0.460059                0.578596                   0.294461                 0.587742                    0.463089                        0.324358                        0.330951                      0.124513                                   0.585411                                 0.527386                     0.585310
